Category	Descript
other	Very modern hotel ....
other	User friendly interface !!
other	Its central, and quite accessible.
other	The bed was comfortable and it was nice to have the pod coffee facility in the room.
other	Lovely, polite staff
request	I would much rather be able to pick the theme colours.
other	The beaches.
other	The spa is fabulous but too expensive
bug	The spa is fabulous but too expensive
bug	This new layout sucks, guys.
other	Staff were extremely friendly and attentive.
bug	Doesnt work for iPlayer.
other	I also liked the water in my room every day and the fact it was cleaned to high standards.
bug	The way to screw perfectly good app.
other	This is a giant step forward towards the universal translators from the sci-fi books, movies, and TV shows of the past.
other	This app is awesome I was a bit worried because it has remixes but there are a lot of different remixes to choose from and you probably will find a good one I know I have!
other	Nice employees who are doing what they can for your well-being.
bug	it's not working on windows 7 64bit
bug	Staff could be more empowered to make decisions like providing their guests with complimentary breakfasts and upgrades.
bug	The reception is not efficient when checking in and out.
other	i like chat voice with my friend on
other	Lightning fast
other	We suffered an accident during our stay and [NAME] on reception could not have been more caring as were other staff.
other	Quiet area no traficnoice in the evening and night
other	Bustling with life during the day.
other	(Would stay rather in hotels in quieter area like on Jalan Kartika Plaza in Kuta or in Nusa Dua)
other	The trip was spectacular and fulfilled all our wildest expectations.
bug	It wasn't terrible but I was annoyed 20 min into our visit someone blasted in our room and told us we had just checked out.
other	Okay speed, could be a lot better.
bug	Okay speed, could be a lot better.
other	This is a chic, sleek, classy boutique hotel in a beautiful area of town.
other	This game is totally free, no need at all to pay the game.
bug	Would be 5 stars but have had issues after booking.
other	Works really well when operating Facebook and Whats app and google
other	Location might deter some although we enjoyed it.
bug	Location might deter some although we enjoyed it.
other	The staff is exceptional and the restaurant on site is quite good.
other	Love it so much fun.
bug	need more hero
other	My download for Windows does not have the ability to choose Font color, my linux version does.
other	Check in and check out was easy.
other	The rooms and lobby area are beautifully decorated and spotless.
other	Breakfast service by the staff is very good.
bug	not a very nice room next to cleaning cupboard lot of noise early morning
other	Balanse sa Account0
bug	It has been a very hard walk for us With 3 bags from Bus station.
other	Comfortable, well appointed rooms with just enough flair.
bug	Expensive breakfast 35 USD per person a la catre menu.
other	This app is amazing.
other	The hotel was perfect as it offered two single rooms for the price of one larger room (with the same level of services).
other	Beautiful and functional.
bug	Room was a bit damp because of the humidity.
other	The hotel lies very central and you can almost visit every sight by foot.
other	Nice touch to have tea and croissant for early departures.
bug	The ship date has already changed once and now its late by about 15 days.
other	I can't can't find any fault at all.
other	looks like a good game
other	I called them once more and confused receptionist answered me that they will call me back.
bug	I for one, and foremost would not prefer this game to my entertainment.
other	We heard somebody putting a key card in our door NO KNOCK first.
other	This let's my friends and feel me.
bug	With the new update, I can't see any new notifications.
other	Everything was perfect.
other	Breakfast was great with lots of options.
other	Our family wants to stay in Barcelona and instead at the Mandarin Oriental!
other	Many photo effect available
bug	Car park was too far away with carrying bags, shopping etc.
other	The pullout sofa bed isn't the most comfortable but worked for my son.
bug	The pullout sofa bed isn't the most comfortable but worked for my son.
other	We had never been there before and Hotel Do got good reviews so decided to stay there.
bug	However, it does mean it's busy and doesn't feel "local"
bug	Reception too busy to make a bug.
bug	Refrigerator door difficult to be opened
other	Very helpful app, sends a lot of reminders and useful tips.
bug	too much ads
request	It's a very good app but please just change the pics view that appears while uploading the status Currently it's the flow view , could have been more better if the view was a grid view or same like the view that appears when we want send any image to any contact or else the control directly moves to gallery for selecting the images.....
bug	Why can't I move the mini-video of myself anymore?
other	cool and i want to download
other	This is a very pleasant hotel in a perfect location, just steps from 3 different metro stations.
other	Fun game.
other	So sweet to make our stay special.
bug	Very inconvenient when you're traveling with family or friends.
bug	Worst experience ever.
other	We got a room near the lift and predicted there would be corridor noise.
other	No.
other	This was the perfect spot for our first 4 nights in Europe.
bug	Each message takes up an annoying amount of space above and below so you have to scroll twice as much to catch up on messages - especially in group chats.
other	Staff in reception so helpful.
request	OR MAKE GOOGLE TRANSLATE AN OPEN SOURCE, LIKE WIKIPEDIA.
other	All from the same lady each time asking the very same things
bug	The app is soo anoying I felt like breaking my phone screen.
other	I've played pointblank before and everythings fine, but when i play this..
other	Very sofisticated hotel.
bug	Staff is really slow attending to your queries.
bug	The beach isn't that nice can't really swim when is in low tide.
other	It's so addictive!
other	Bed very comfy view superb location superb.
other	From the moment we arrived until our 4 am checkout we were blown away by this small but wondeful hotel.
other	When we arrived our room was ready so we immediately went up to drop off our stuff so we could start exploring Barcelona.
other	Short walk to the Barcelona cathedral, as well as old town and other classic Barcelona neighborhoods.
other	The Terrace on the roof of the hotel gives a spectacular view of the sea.
bug	The temperature in my room could not be regulated and the street was too noisy to keep the window open, so it was too warm at night.
other	Will never stay again.
other	She was very polite and helped us in every possible way.
other	works GREAT!!
other	Hidden away in the Jewish corridor, this hotel takes you away to another world.
other	Best:
other	Thanks
other	Very clean and modern.
other	This time it is pre-cruise.
bug	Yet another idiot dev who thinks every single thing warrants registering for an account.
other	You can also Download from here:
bug	Was ripping off every other messaging app really necessary?
bug	Even though it says my fb page is linked it winds up sharing images direct to my personal page
bug	Had a real bad time creating a USB boot stick.
other	But its not.
other	The hotel is located in El Raval, very center and close to the Ramblas.
request	How do I get the first alpha of 7 days to die for free
bug	The room was outdated.
other	I love all the different games
other	We almost missed our train due to it, which made us feel not good.
bug	Bad experience.
other	Wow!
other	Lovely location staff are very friendly and helpful hotel is really clean and clean bar area very relaxing and the views from Terrace bar stunning would recommend staying here and would come back again
other	Good game otherwise!
other	nice restaurant.
other	First time in Barcelona and we acclimated well thanks to the welcoming staff at Alma.
bug	and what made it worse was on our last day we was taken to a room so we could get showered and dressed and that room was what we would have expected it was VERY clean and had a shower and no smell at all, my husband was ill in bed for two days and we still have bad upset tummies now we are home and we put it down to the smell coming from the shower.
other	The rooms are clean, comfortable, functional and delightfully decorated.
other	I would definitely recommend it.
other	Room with a city view is a great choice.
other	Cosy and very friendly vibe.
other	Learn something from Indian banks.
other	This was our second visit to H1898, this hotel is a real find.
bug	Also, why bother with time stamps if chronology has been disregarded?
other	The camera function is interesting but it's basically a toy.
other	It is very new, and this shows in the design and quality of the fittings.
other	Tea in the garden was like milk and honey in the garden of Eden.
other	When we arrived the reception staff were very welcoming and smiley.
bug	Hotel is really new and in my opinion there are still some things to refine to be perfect.
other	This place was great.
other	very nice software
other	It also supports many plugins.
bug	Tv system to old
other	Over additive game.
other	good.
other	Is super compatibility perfect.
other	I know remaking a song into a piano format is popular, so doing that could definitely boost popularity of the game itself.
bug	Check-in: we arrived around 14:30, waited for at least 15 min to be assisted and when we checked in they said we have to wait for an hour for the room to be ready though Check-in time is already late (15:00). No information given about the hotel and staff not very helpful.
other	Perhaps the dry season had an effect.
bug	Cleanliness was poor and could have been better all round.
other	NICEFIGHTING STYLE NOTHNG MORE
bug	NICEFIGHTING STYLE NOTHNG MORE
other	I was very impressed that although my room wasn't ready on arrival, the polite and friendly receptionests offered me a complimentary coffee and because I had to wait, upgraded me to a slightly better room.
other	After I forced staff to do something they somehow managed to get an iron.
bug	After I forced staff to do something they somehow managed to get an iron.
bug	I cant even see how to set up my webcam.
other	new edition
other	I like to make change to the photos
other	However, the villa provided a lot of mosquitoes repellants and coils at night.
other	however, it's a pretty fun game.
other	I gave up all of my progress to try to fix it and guess what?
other	I was traveling to Barcelona with 2 friends for a long weekend.
bug	the internet was limited and was not very fast as expected.
other	This is a wonderful small boutique hotel located in an upscale residential part of Barcelona.
other	The rooms were decorated nicely and were spacious.
other	I have chosen this hotel due to several things: good location, decent prices, good online reviews.
other	ABODE PHOTOSHOP CS3 IS BESR PHOOTO SHOPWE THIS PHOTO SHOPE IS BEST FINISHING
bug	THAT WAS WORST!
other	All good.
other	I need it in my work and my kid's homework.
other	Good game!
other	Overall a good hotel, with a somewhat special hotel entrance via a mini shopping mall.
bug	Not a big problem, but it might be nice if breakfast would be delivered to the villa, and not prepared at the villa, for a bit more privacy.
request	Not a big problem, but it might be nice if breakfast would be delivered to the villa, and not prepared at the villa, for a bit more privacy.
bug	Tapping on a friend's other highlighted beneath a long thread doesn't take me to the other.
other	This game is probably one of the many Naruto games for you.
other	this software will be hopefully helpful to me.
other	Very comfortable room , great food and atmosphere.
other	Also Nice Sightseeing Tour a great way to spend the day.
bug	VERY misleading.
other	the tool is very useful , not only in capture image but also in giving comments.
other	@Bluebirdjohn
other	Ensure that you have the credit card you originally booked with as mine had been hacked and replaced which resulted in me having to paid again for the booking and the original amount was refunded.
other	You earn way more rewards now and allot more music.
other	After spending alot of money, I expect to sleep soundly in my room.
other	i think its amazing
bug	Hate it doesn't even let you watch movies!
other	Overall staff of the hotel was very good.
bug	This situation show how receptionists shouldn't behave.
other	Good selection of food at breakfast.
other	I don't know if they can receive it as I send it, not sure if they receive a link to click on or my bitmoji,haven't heard back yet...
other	The location was close to downtown and in a great location.
other	i just install the software how to use.
other	It works in Win10.
bug	Under sheet on bed was stained and looked like it should be replaced!!!
other	Nusa Dua is a little remote as it's almost a gated area, which makes going to restaurants outside a bit more difficult.
bug	Nusa Dua is a little remote as it's almost a gated area, which makes going to restaurants outside a bit more difficult.
bug	Reception staff also extremely rude.
bug	After returning to our room from breakfast we turned on the tap and there was no water.
other	If I stay again, I'll be asking for a room close to reception.
other	Second Life is not a game.
bug	Breakfast - overpriced and mediocre.
other	Easy access to interstate.
bug	I was so uncomfortable all night long
other	Hard to find anything not to like.
other	After the reception informed us, we kept it away from the mobile and it worked well.
other	My wife and I stayed 7 nights at The Wittmore for our 20th anniversary trip in May 2017. We were very pleased with the hotel.
bug	It doesn't remember my page at all.
other	Breakfast had a nice variety with hot food as well.
other	Great dining suggestions.
bug	Even though we asked for a twin bed, the room had actually a double bed (made of two twin) that we had to separate ourselves.
bug	both of us had restless broken nights sleep trying go get comfy on both nights and backs hurting in the mornings which neither of us usually suffer from
other	Amazing service in the bar.
other	And the bus to the airport was great.
other	The room was fantastic and the service was good.
other	Please note that I don't mean asian guests of the hotel, as they pay the same money for their stay.
request	There should be an option to go back to ordering uploads by date.
other	Alonso train station.
other	the controls are easy to use and the game is totally playable without paying money.
bug	Not every IT budget can justify the pricing.
bug	The room stunk of sewerage and when we told staff they would just laugh.
other	The villa was so nice that we were sometimes lazy to go out and explore the city.
other	Free
other	The roof terrace the view from this was amazing and fresh towels every day.
other	big speed
other	nice
other	It's fun to play when your waiting or just board.
other	easy to walk to anywhere.
other	Everyone should play this game.
other	It met and exceeded all of our personal and professional expectations.
other	Armchairs inside the window in bar were very comfortable and bar was a relaxing friendly place.
bug	While our stay in Sofitel we understood that reputation means nothing to them,as after the conversation with two managers and later, we got no explanation why all it happens.
other	Like so..
other	Nice Hotel and central location with a great rooftop pool - third time I have stayed.
bug	I can't use windowed mode?
other	Best
other	good game and very good graphics:)
other	The bigger the item the bigger the shipping.
bug	My issue with this app is that you don't always get what you pay for.
bug	The cocktails in the bar were not great.
other	Each room is inspired by a different landmark in Paris but not in a tacky way, much more modern and artistic.
other	This is an old historic hotel that goes back to 1800's .
other	Friendly staff.
other	On CNET and Softonic the software is named "AZW to PDF Convertor.
other	I love this app it makes messaging so much more fun , I would however like to see the ability to add moles and or birth marks if I could do this to my avatar I would be so happy thanks
request	I love this app it makes messaging so much more fun , I would however like to see the ability to add moles and or birth marks if I could do this to my avatar I would be so happy thanks
request	Make it so that we can add(contribute with) better translations in the Android app too!
other	and nice restaurants.
bug	And the rest of the likes come one by one very late making my phone sound for no reason even in the middle of the night.
other	Most things do take a month or longer depending on the item.
other	The bathroom amenities are ultra luxurious.
bug	Absolutely terrible.
other	Just recently returned from the Saint James....
other	The Reason so many downloads is that's people trying to get it to work
bug	I have stayed at Sofitels before and have always been impressed by the 5 star rating, however not in Bali.
other	Bar snacks delicious .
bug	Number of good add-ons is limited
request	Ok, I did NOT try this program, but isn't 22 megabytes a bit too much for a "light-weight" bittorrent client?
other	My husband and I stayed here for 9 days, and we couldn't have made a better hotel choice.
bug	The sliding doors between the room and balcony has a serious flaw in keeping noise from neighbours who would party all night till 2am.
other	i wont to use openGL on the dev c++
other	I am unknown about this.
other	Wakes your brain up!
other	The location is perfect with Marais being a great area to stay in with restaurants, shops, cafes, bars and the metro all close by.
other	Despite the noise and bustle outside, the rooms are very quiet, and we overlooked Las Ramblas.
other	We travel often and usually stay at very nice hotels.
bug	This was so bad experience that i wouln't stay again in this hotel.
other	So fast.
other	I am unsure as to whether or not the creators are also reading private dms.
other	FC5CBFO, on checking this out all antiviruses say the same thing about this program.
other	The room was clean, quite, black out windows for siesta.
other	This downloader is great.
other	When you take some time using it you realize it is a great video editing.
other	All manner of conveniences are available "barring" a mini-bar (pun intended :) ).
other	Basically, it's an ok planner.
other	Takes my mind notes visually and understandable.
bug	Very disappointing.
other	Nice breakfast, complimentary mini bar in room, safe for your belongings, toiletries.
bug	Even the accessories in the app look fake.
bug	I don't what Microsoft was thinking with this update but I don't like it either way~
bug	To much muscito's.
bug	Can't find anything on oracle about windows 2000 not being supported and this page lists windows 2000 as supported, but the x86 downloads for jre7 all result in not a valid win32 application messages.
bug	I would liked a complete bathroom with the wash basin in the same room.
other	Brilliant for Energy Assessors to compile photo evidence for audits.
bug	Breakfast is just soso.
other	* Feature-Packed
other	) and the breakfast was really good and the view and walking facilities for the dog in the grounds were terrific.
other	When you phone the staff say parking is around the corner.
bug	The wether as you understand in Russia was extremely cold, but the heating system was extra hot and we couldn't control it at all.
other	4. THERE ARE NO CHEATERS ON THAT GAME OR HACKERS
other	The hotel is very nice, modern, clean.
bug	There were 4 responsible during our visit;but this lady gave us our room earlier than check-in time;but she was very rude and her attitudes were very bad..
request	Being a new Apple Developer, I needed a fast program that would work fast and has a easy User Interface.
other	Won't recommend it to anyone.
other	excited
other	Reserved a suite for four nights and requested a room on a higher floor with a view of the square in front.
other	The people who gave it 5 or 4 or 3 or 2 stars.
bug	When checking out, they even put wrong charge from other room onto our bill, wasting our time, 30 mins,for waiting them to check and revise the bill, sooooooo slow.
bug	Full of ads!
other	This is good.
bug	Feels like Skype hired the same person who ruined hangout :/
other	Bedroom excellent,staff impeccable,the manager on the night we stayed was a man called [NAME] who was the friendliest manager iv ever know,very nice place very nice people.
other	I went to another hotel down the road who still had an open restaurant.
other	Wonderful staff at breakfast nothing too much trouble.
request	And All-Inclusive choice could be good.
bug	Free wifi is compromised and actually blacklisted on 3 counts on IP information site.
other	But seriously, this game is cool.
other	This hotel has so much to offer and is brilliantly located for all of the hot spots in Barcelona.
other	The staff was better than fantastic.
bug	Please make it stop.
other	This is a really fun game to play in your spare time.
other	Most of the people I know have this game downloaded to their phone, tablet, or computer.
other	Just awesome.
other	The Daum Pot Player has the potential to be a very good video player.
bug	Listen to the people who gave it 1 star.
other	It was great.
other	Beyond thrilled and thoroughly addicted!
other	Hotel very nice and staff very helpful and friendly.
other	I loaded it onto my Windows 7 machine and hide a store of files.
other	This hotel is gorgeous and pretty spacious.
bug	A bit misleading, I thought I was booking a hotel for $389.00 everything in.....then it said $453.00 taxes & hotel fees!
other	Have stayed here a couple of times and each time it's been perfect!
bug	Having the wash basin in the room made it a little difficult.
other	Totally free and totally worth it.
other	Spring Spa Escape was fantastic value.
other	Hotel was one of our favorites.
other	The rooftop pool is amazing.
other	Our room was on the upper floor with a view of the Eiffel Tower.
bug	The room had issues with cleanliness, and maintenance.
other	We also walked further down to the Zocalo and to the cathedral.
request	even if they are planning to renovate the old section in the near future, it would be nice if they kept up with simple maintenance issues - like replacing the missing tiles from the stairs etc..
other	The best game boy ever
bug	Limited options
other	We couldn't have been happier with the hotel.
other	Wow, this hotel is top notch and it's location in the Gothic Quarter is great.
bug	Although I do kind've dislike the fact on how you have to put your actual face on here.
other	The Corner Hotel has a beautiful aesthetic.
bug	There wasn't any program in the late evening
other	this place is different!
other	Helpful staff and mini fridge in the room stocked with sofa, juice and water.
other	The slow service and understanding appears to be a "thing" among the Balenese people.
bug	If I want to use the bloody Snapchat I'll download that on my phone.
bug	Rte is essentially a quango and this is the product of an over fattened civil servant pig.
bug	Air Con when it works does not suit all people.
request	Also I think it needs more hairstyles I have ombre hair that should be an option.
bug	Plus, lots of graphical lag when trying to show new messages.
other	Great room and shower.
other	Old, but stable game.
bug	Old, but stable game.
bug	Phone froze as if the app had a virus.
other	These issues need to be resolved.
other	Worked fast and excellently on a number of jpegs for emailing purposes, reduced file size by 98% with no loss of readability.
other	Upgrade to a suite - it's so worth the extra luxury.
bug	* Very dull output picture Quality.
bug	only bug is it drains the battery pretty fast, but all app games drain the battery.
other	Many thanks to the wonderful staff at the hotel but especially [name] and his colleague [name] who did everything to ensure we were well informed about Paris.
other	Thanks!
bug	We ordered three of the same thing from the menu we were given but the server delivered something totally different.
other	Works straight out of the box
bug	When you order something in the restaurant it takes long time to get it and they always miss something.
other	A charming hotel in a peaceful part of the city, yet many shops, restaurants and coffee shops close by.
other	The same thing happened the next morning.
bug	THe Demo is only one hour!
bug	This chain overbooked for our stay so we arrived at a sister hotel after 8 hours on the road to be told we were bumped to another nearby.
other	One of our good friends was staying a few doors down from us and received a plate of macarons on their first night and each consecutive night after.
bug	The room was facing an inner garden, facing windows of other rooms, it could have been anywhere, not mentioned at booking.
other	It is one of the best hotels that I have encountered.
other	The room was very small but the way it is furnished creates so much space for everything.
other	i think is sow cool
other	A dont have original program, but number 17 is inafe good and more then everybody need.
other	Friendly Staff, Comfortable room, excellent breakfast.
other	i think the google earth is wonderful!
bug	It is a huge step into the past, it isn't good at all.
other	I was really impressed with this hotel.
other	The restaurant is a true dining experience - outstanding food and service.
other	install this and windows 10 will update it to a newer version
other	I have to see them individually.
other	I liked the staff, they were very friendly and helpful.
bug	I don't want to see "Translate from hindi" in the bottom as suggestion when I'm translating from Marathi.
bug	You will face awful dirt and noise everywhere they are.
other	Great hotel and fantastic staff.
other	We would definitely stay there again!
other	Bedroom was big and bed very comfortable.
other	We enjoy the view from our suite, very clean and excellent organized.
other	5 stars!
other	Piano Tiles 2 is a great game, really fun to play and you won't find yourself deleting it after only a few days or weeks.
request	if there any updates?
bug	It was not very clean,strong smell of paint on the third floor, and had to access third floor from second floor up stairs because of ongoing reovations.
other	But it did not!
other	awesome app
bug	Water pressure of the shower is weak.
bug	Instagram doesn't remember the Facebook share settings.
other	It is having a huge impact on comfort in this generally good hotel
other	I can't stop playing this game even my little brother plays it and he is 5 years old.
other	We enjoyed our stay very much.
bug	A high price for guests to access pool facilities, we just wanted a quick dip, not an afternoon spa experience.
bug	Water in shower smelt, the pool on the beach was closed and thats why we chose the resort but we didn't find this information out until we arrived - very very disappointed with that as wouldn't have stayed there if we knew that was the case.
other	Cons:
bug	The room was located at the end of a very long hall and the mattress was extremely uncomfortable.
bug	Htc sync is a bad problem for htc owners.
bug	New smileys look so flat and boring.
bug	Restaurant - breakfast - very simple bufet, the worst coffe we ever drink, poor staff in the restaurant
other	I also like the different things you can use to send to friends.
other	Nothing
bug	They don t have parking
other	It will on ly vug you to the limits of your time.
other	It has become rather addicting for my mother and I and we can never get enough of it.
other	I play the classics on this game more than I do on my actual piano!
other	Beautifully crafted resort.
other	The staff are exceptionally friendly and attentive.
other	We held welcome drinks at the pool bar the night before our wedding.
other	loved using it
other	1. Service Tax = 12% of amount
other	We spent the last 3 days of our vacation in Barcelona.
other	I finally got the game in win 8.1. I like this game very much.
bug	No mouse control.
other	The hotel was clean, well managed, conveniently located and the staff was outstanding.
other	The twin room was small in size, perfect for 1or2 night stay.
other	As the men have more things that appeal to girls.
request	how can it be solved???
other	Very helpful.
other	The rooms are very modern and cool with all the amenities you expect from this level of hotel.
bug	The installing process was quite complicated.
bug	Residents had to eat breakfast in the restaurant and couldn't sit outside on the square.
bug	Ocean wasn't good for swimming
bug	Does not do what it claims to do.
other	Spent a long time selecting the right hotel for a 3 night break to Barcelona.
other	it is so wonderful to use
bug	I do not know who is on-line and who is not, if I am on the contact list.
other	I loved the big sink and mirror in the bathroom and the spaciousness of the room.
bug	It was sheer chaos when I arrived.
bug	Not good.
other	Couldn't fault the place!
other	It is impossible to give this hotel the reviews it deserves in words.
other	Teracopy really rocks and works well with Windows Explorer, but does not seem to work with v8.5
bug	Teracopy really rocks and works well with Windows Explorer, but does not seem to work with v8.5
other	Great service, great views, the rooms were clean and comfortable.
other	We stayed here for 2nights when we visited Barcelona, what a great hotel!
other	Thank you hotel Imperial!!!!!!!
other	other than that its a realllly cool app
bug	Not cool, so bad review so their marketing team thinks about it.
other	No errors.
bug	I'd give it a minus if I could.
bug	I was told on the site that u don't pay til check in (like before) and two days later the entire amount of$251.37 was taken from my bank card.
bug	I was told on the site that u don't pay til check in (like before) and two days later the entire amount of$251.37 was taken from my bank card.
other	room was nice and big and comfortable
other	it bis so helpful for find Age .
other	ah software ke throuhg maine apna keemti data recovr kiya hai
other	Its a lovely place made even more memorable by an excellent team of staff.
other	I love my Songbird & listen to
bug	2. It's nothing but it consumes a large amount a CPU and memory.
bug	2. It's nothing but it consumes a large amount a CPU and memory.
bug	an unexpected error has occured.
undetermined	Unless one of them DIES (rip lightbulb you will be missed ;-; )
bug	Very low level of service.
other	Then started to ramble on about the the hotel architecture.
other	it's a boutique hotel,
bug	is literally the WORST web browser that I have ever used in my entire life.
other	Really good palyer.
other	You can get a lot of different registry correcting software, but this one really fixes the problems and you don't have to worry about it damaging your system unlike other software.
bug	It has several settings to uninstall and scan for unnecessary and excess files and other useless files, folders etc.
other	Clean!
other	Only restriction applies to t-shirts with alcohol brands.
bug	Five star prices but that's about it.
other	We would highly recommend this Hotel.
other	Good triple rooms, comfy beds and plenty of space.
bug	I would say that the parking area is a little too far, since we brought a private car with no driver.
request	Also the themes should at least have one that was similar to the previous blue and grey look.
bug	I am FURIOUS!
other	easy to use
other	it has solved a huge problem to me .
bug	Nobody proposed anything how to solve my problem.
request	Anybody have any ideas how to fix this problem.
other	We absolutely loved our stay at the Saint James, Paris.
other	Very warm welcome at the reception by Valentin.
other	[name] went out of her way to help us.
bug	The one weights machine was only partly working.
other	game is good
other	Looks just the pictures with two patio doors and balcony.
other	rooms were clean and big.
other	Stayed at a very bad hotel that was a dump recently.
other	- Easy to Use
other	This is a lovely gem of a small boutique hotel.
other	Good and faster.
other	Hello everyone I used VanBasco Karaoke Player on my previous laptop under window XP
other	My husband talked to one of the staff at the front desk to see if they would have any luck getting through to the restaurant.
other	Beds most comfortable thing ever
bug	Discount codes and deals absolutly never work.
other	Repaintet room and new tiles in the bathroom.
other	the charcter
bug	I only have one bug, which is the lack of any modern songs.
request	I only have one bug, which is the lack of any modern songs.
other	audio and video is good
bug	I had to pull out the battery and restart.
other	I was surprised to see a separate gluten-free section in the buffet area of the diningroom for breakfast - there was a good selection of cereals, bread,
other	It's a perfect location for exploring the vibrant neighborhood, as well as the Notre Dame, Louvre, etc.
bug	The curtain of the bathroom had some marks that we didn't like to touch.
other	This is a warning about Camfrog
bug	I wish Booking wouldn't represent certain hotels.
other	The room was swell with a mini fridge, excellent bathroom with molten brown products, yummy breakfasts included, great location, nice roof top area.
other	Otherwise very happy and continue to use it.
other	Very simple to use.
other	I have stayed at many boutique hotels and this one went above and beyond in terms of service.
other	Huge Ryanair fan and 9 times out of 10 they are the cheapest but cmon!
other	I've analyzed the the Sonic Games program file with virustotal.com,and the final score was 0/41. That means a 0% presence of viruses, trojans or any other threat in this file.
other	We could not have stayed at a nicer hotel in Paris.
other	This hotel was the perfect location to escape the hustle and bustle of the city and was lovely to come back to after a day out exploring.
other	You don't need to spend money, and you can play it at your own pace.
other	Extraordinary choices, i always want more.
other	yes i want to test , it's look funny!!
other	Nothing
other	By far the best efective filter for web that I used.
bug	They couldn't understand anything we were asking.
request	If the hotel transport to and from airport can be provided for free than the flow of the trip would have been much better.
bug	But there is one limitation for users like India.
other	This room was booked at the last minute due to having to leave our previous hotel early due to unsuitability.
other	program i like create game like a hl2,portal 2,lf4d2,hl and
other	realy good
other	A beautiful river runs by near the location.
other	Very very nice program
other	Stayed here this month before a cruise.
bug	I really hate the new version!
bug	The new Skype update, to summarize, is a major setback, and does indeed provide features the original didn't have, but it shouldn't be an issue to keep the prior version and add in new aspects.
other	wow wow wow wow wow wow
other	Nothing
bug	Your real IP is leaked on HTTPS sites without you knowing.
other	We had a great four night stay at la Chambre du Marais.
other	Bed was very comfy.
bug	I was supposed to receive it by 04/24/17 which was later changed to 05/03/17. So I contacted support letting them know before May 3rd that i moved and that my package was still was not there even after checking after May 3rd.
other	There is also a castle that you can hike to.
other	The style of the hotel is very pretty in a chic kind of way.
bug	This app is not good.
other	Located in a beautiful residential arrondissement in walking distance to L'Arc de Triumphe.
bug	Plus the videos don't load until we restart the app
bug	Doesn't see my phone - cant do anything with it
other	I rang reception at 21:30 to notify them of the noise.
other	[name] (tall [name] with little hair) was so kind, friendly and helpful.
other	Many young generation in the entourage.
bug	Number of good add-ons is limited
other	I would stay there again, it was a perfect experience.
bug	The hotel is old and definitely in need of an upgrade, particularly given the prices charged.
other	Staff were wonderful.
bug	Watching my tv shows should not be this difficult.
other	great app
other	One thing I do not like is Charizard.
other	I knew I was in the right place when I heard them playing it in the lobby.
other	I was was able to configure my HL-2240 Brother printer, and my old HP scanner was immediately recognized.
other	I love it!
other	Great place to stay on the left bank.
bug	(saving the hazzle of dealing with local taxi company ripping people off, or having many taxi drivers harassing you when u walk out- which is our only problem for this trip.)
bug	It is across the river and a long walk in the rain to get there and back.
bug	Rooms were a bit pricey though.
bug	Noisy cleaning and lot's of fumes at 5am.
other	Very cool personalizing your own character.
other	Close to a mall and food places.
other	We had an incredible four day stay at the Peninsula!
other	Over the years have stayed 20 - 30 times at this Hotel
bug	The towel i used was stained and ragged.
other	Hotel was clean and food was awesome...
bug	Can't share photos straight from the gallery app.
other	La Chambre du Marais is a recently renovated boutique hotel in the Marais section of Paris.
bug	Service was appaling - absolutely not up to Sofitel standards.
other	it is so much easier to use my in come is thru the A.
other	She followed up with a call to my room to make sure everything was to my satisfaction.
other	It's more like a tommogatchi kind of game, where you feed and train your Magikarp to "Battle" or jump.
bug	This is the only hotel we have stayed in that we had to pay for parking.
bug	The ads that run have no video just audio, and then get stuck so I have to repeat over and over getting it to load my content.
bug	The ads that run have no video just audio, and then get stuck so I have to repeat over and over getting it to load my content.
other	-Staff was genuinely friendly and helpful.
other	The tour ended at the Barcelona Hilton, but we wanted someplace closer to the sights so we moved to the Catalonia Square.
other	The room was small with no view, but we didn't care as we were there to see the city.
other	this is the best media player because of following:
other	A very nice and clean hotel.
other	My wife and I spent three nights here after a group tour of Northern Spain.
other	-is free
other	There is nothing to dislike at the Oberoi.
other	Great location and very helpful and professional staff.
bug	I went to uninstall it and it won't uninstall.
other	Everything at your doorstep.
other	Overall excellent.
other	Picture quality.
other	I have been using
other	Even a yoga class ...
other	Totally brilliant intuitive application.
other	I stayed in a Deluxe Boulevard room for 3 nights as part of a large corporate group.
other	The most comfortable hotel bed we have ever slept in!
bug	The lobby doesn't exist currently, as it's under construction.
bug	I didnt like that we were given a room in the far flung corner of the resort up on Level 3. I didnt like that the pool and restaurant on the beach was under construction (would not have booked here if I knew). I didnt like the breakfast much, pretty ordinary and the noise of the construction was a bit off putting.
other	I give this company credit for using pictures/images that are clear in interpretation, which makes the game much more enjoyable.
bug	Because my account is so old, I have no way of accessing the original email address I used to opem it Now it is telling me it can't verify who I am!!!
other	Delightful I know.
other	We just returned from our 6 night stay at the Hotel Monge.
other	I will be sure to bookmark your blog and may come back very soon.
request	Plz send me this software because i forgotten it.
other	We mistakenly had thought we had all rooms booked for 2 nights but we only had one night booked.
undetermined	Maybe old style clothing too from civil war era not just city slicker clothing
other	its a fabulous games
other	Can't complain at the Beach front location!
other	Thanks for that.
bug	Very expensive for an 'ok' room.
bug	When we ask ice water they bring either water or ice not together.
other	Very good software for free user..
other	its good
other	I have watched soaps on this a few times.
other	We stayed a couple of nights at Favart.
bug	It was very hot in the room.
other	it is best app
